Reported outcome;Response time;Exclusion;TP;The ratio between the dice roll and the possible reward is...;What is the chance that you will get the reward?;My dice role was fully anonymous-only I could know what I rolled.;Several students will receive a monetary reward for the dice under cup game.;Gender;Age;Native language dutch;Native language other;Nationality dutch;Nationality other;Education
5;5,557;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Neutral;1;19;1;;1;;2
2;5,108;0;1;The reward (in euro) is two times the outcome of the dice roll.;19;Strongly believe;Neutral;1;17;1;;1;;2
6;2,473;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;22;1;;1;;2
1;6,753;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Believe;Do not believe;1;19;1;;1;;2
2;5,325;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Strongly believe;Believe;1;19;1;;1;;2
3;4,822;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Neutral;2;20;1;;1;;2
6;5,509;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly do not believe;1;18;1;;1;;2
2;6,84;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Neutral;Neutral;2;23;1;;1;;2
5;8,119;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;30;1;;1;;3
4;10,784;0;0;The reward (in euro) is two times the outcome of the dice roll.;16;Believe;Believe;1;18;1;;1;;2
5;5,791;0;1;The reward (in euro) is two times the outcome of the dice roll.;18;Do not believe;Strongly believe;1;18;1;;1;;2
5;8,6;1;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly do not believe;1;25;1;;1;;5
1;6,136;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;1;;1;;2
2;4,916;0;1;The reward (in euro) is equal to the outcome of the dice roll.;57;Strongly do not believe;Do not believe;1;20;1;;1;;2
5;9,415;0;0;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Neutral;2;35;1;;1;;3
4;3,501;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Believe;Believe;1;20;1;;1;;5
2;10,269;0;0;The reward (in euro) is two times the outcome of the dice roll.;0;Believe;Do not believe;2;18;1;;1;;2
3;4,17;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Do not believe;Neutral;1;19;1;;1;;2
6;9,13;0;0;The reward (in euro) is two times the outcome of the dice roll.;33;Believe;Neutral;1;19;1;;1;;5
2;3,775;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Do not believe;Do not believe;1;23;1;;1;;2
4;7,752;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
1;5,427;0;0;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;19;1;;1;;2
2;6,613;0;1;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;2;20;1;;1;;2
5;13,103;1;1;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Strongly do not believe;2;19;1;;1;;2
5;3,761;0;1;The reward (in euro) is two times the outcome of the dice roll.;9;Strongly believe;Strongly believe;1;20;1;;1;;2
4;4,204;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Neutral;1;18;1;;1;;2
3;5,172;0;1;The reward (in euro) is two times the outcome of the dice roll.;5;Strongly believe;Believe;1;19;1;;1;;2
3;13,662;0;0;The reward (in euro) is two times the outcome of the dice roll.;30;Believe;Believe;1;18;1;;1;;2
2;7,141;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Strongly do not believe;1;20;1;;1;;3
5;6,825;0;0;The reward (in euro) is two times the outcome of the dice roll.;20;Do not believe;Neutral;1;18;1;;1;;2
5;5,184;0;1;The reward (in euro) is two times the outcome of the dice roll.;1;Strongly believe;Believe;1;19;1;;1;;2
3;7,538;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Do not believe;Believe;1;20;1;;1;;9
6;6,583;0;0;The reward (in euro) is two times the outcome of the dice roll.;17;Strongly believe;Do not believe;1;18;1;;1;;2
5;3,407;0;1;The reward (in euro) is two times the outcome of the dice roll.;60;Strongly believe;Believe;1;18;1;;1;;2
4;12,193;1;1;The reward (in euro) is equal to the outcome of the dice roll.;61;Do not believe;Do not believe;1;18;1;;1;;2
2;17,78;1;1;The reward (in euro) is two times the outcome of the dice roll.;2;Strongly believe;Strongly believe;2;20;1;;1;;2
6;5,378;0;1;The reward (in euro) is two times the outcome of the dice roll.;10;Strongly believe;Believe;2;18;1;;1;;3
4;4,202;0;1;The reward (in euro) is two times the outcome of the dice roll.;0;Strongly believe;Strongly do not believe;2;19;1;;1;;2
6;4,195;0;1;The reward (in euro) is equal to the outcome of the dice roll.;1;Do not believe;Strongly do not believe;1;21;1;;1;;2
4;3,82;0;1;The reward (in euro) is two times the outcome of the dice roll.;6;Believe;Believe;1;18;1;;1;;2
6;11,643;0;0;The reward (in euro) is two times the outcome of the dice roll.;11;Believe;Do not believe;1;19;1;;1;;5
2;8,44;0;0;The reward (in euro) is two times the outcome of the dice roll.;15;Strongly believe;Believe;1;19;1;;1;;2
4;6,3;0;0;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Strongly believe;1;21;1;;1;;5
1;3,899;0;1;The reward (in euro) is two times the outcome of the dice roll.;100;Strongly believe;Believe;2;18;1;;1;;2
6;21,811;0;0;The reward (in euro) is two times the outcome of the dice roll.;1;Believe;Do not believe;2;19;1;;1;;5
2;7,478;0;1;The reward (in euro) is two times the outcome of the dice roll.;16;Believe;Neutral;1;18;1;;1;;2
4;5,895;0;1;The reward (in euro) is two times the outcome of the dice roll.;50;Strongly believe;Do not believe;1;18;1;;1;;2
