Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
1.00;1.00;1.00;#LEEG!;22.50;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
2.00;1.00;1.00;5.00;5.07;1.00;1.00;1.00;3.00;2.00;4.00;3.00;3.00;3.00;1.00;3.00;1.00;2.00;1.00;2.00;1.00;1.00;2.14;1.89;0
2.00;1.00;1.00;4.00;8.91;1.00;2.00;1.00;1.00;3.00;3.00;1.00;3.00;3.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;2.00;2.14;1.44;0
1.00;1.00;1.00;5.00;5.27;1.00;2.00;3.00;2.00;2.00;3.00;4.00;3.00;4.00;3.00;3.00;3.00;5.00;3.00;3.00;3.00;2.00;2.43;3.44;0
2.00;1.00;1.00;5.00;7.74;1.00;2.00;2.00;2.00;3.00;3.00;3.00;3.00;5.00;1.00;3.00;1.00;2.00;1.00;4.00;1.00;3.00;2.57;2.33;0
2.00;1.00;1.00;6.00;17.52;1.00;2.00;2.00;2.00;2.00;3.00;4.00;3.00;2.00;2.00;2.00;2.00;3.00;2.00;3.00;3.00;3.00;2.29;2.67;0
2.00;1.00;1.00;2.00;5.31;1.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;0
1.00;1.00;1.00;2.00;4.90;1.00;3.00;3.00;3.00;3.00;4.00;4.00;3.00;2.00;1.00;5.00;2.00;2.00;2.00;4.00;1.00;3.00;3.43;2.33;0
1.00;1.00;1.00;4.00;11.90;1.00;3.00;2.00;3.00;4.00;4.00;3.00;3.00;2.00;2.00;4.00;1.00;2.00;1.00;2.00;1.00;3.00;3.29;1.89;0
2.00;1.00;1.00;4.00;19.73;1.00;3.00;2.00;3.00;4.00;3.00;1.00;4.00;4.00;1.00;4.00;2.00;3.00;1.00;1.00;1.00;4.00;3.29;2.00;0
2.00;1.00;1.00;5.00;11.17;1.00;3.00;3.00;3.00;3.00;3.00;1.00;2.00;2.00;2.00;4.00;2.00;4.00;1.00;1.00;1.00;4.00;3.29;1.78;0
1.00;1.00;1.00;5.00;17.58;1.00;3.00;2.00;2.00;3.00;2.00;1.00;4.00;4.00;1.00;3.00;2.00;4.00;1.00;2.00;1.00;3.00;2.57;2.22;0
